"Nachname";"Vorname";"Alle Vornamen";"geburtsname";"geschlecht";"geburtsdatum";"geburtsort";"staatsangehörigkeit";"2. staatsang.";"konfession";"konfessionskuerzel";"drucke konfession";"konfessionsanmeldung";"konfessionsabmeldung";"geburtsland";"geburtsland vater";"geburtsland mutter";"verkehrssprache familie";"migrationshintergrund";"zuzugsjahr";"straße";"hausnummer";"hausnummernzusatz";"postleitzahl";"wohnort";"telefon";"mobil";"e-mail";"e-mail schule";"status";"klasse";"jahrgang";"anmeldedatum";"aufnahmedatum";"beginn bildungsgang";"dauer bildungsgang";"externe schulnummer";"beruf";"masernimpfnachweis";"keine auskunft an dritte";"schueler-basfoeg";"meister-bafoeg"
"Heinrich";"Julia";"Julia";"";"w";"08.01.2009";"Bremen";"DEU";"";"katholisch";"KR";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Bismarckstraße";"130";"";"53113";"Bonn";"0202 649525";"0174 91846696";"j.heinrich@privat.de";"j.heinrich@schule.de";"aktiv";"8d";"08";"";"01.08.2024";"";"";"";"";"ja";"nein";"nein";"nein"
"Schäfer";"Susanne";"Susanne";"";"w";"09.05.2010";"Hannover";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Nordstraße";"25";"";"50823";"Köln";"0241 257677";"0171 20939011";"s.schafer@privat.de";"s.schafer@schule.de";"aktiv";"8d";"08";"";"01.08.2024";"";"";"";"";"ja";"nein";"nein";"nein"
"Stanescu";"Larisa";"Larisa";"";"w";"22.03.2010";"Brașov";"ROU";"";"sonstige orthodoxe";"XO";"nein";"";"";"ROU";"ROU";"ROU";"Rumänisch";"";"2016";"Lindenallee";"97";"";"46047";"Oberhausen";"0251 818709";"0174 22543044";"l.stanescu@privat.de";"l.stanescu@schule.de";"aktiv";"8d";"08";"";"01.08.2024";"";"";"";"";"nein";"nein";"nein";"nein"
"Gündüz";"İbrahim";"İbrahim";"";"m";"03.03.2009";"Dortmund";"TUR";"";"ohne Bekenntnis";"OH";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2012";"Buchenweg";"58";"";"46236";"Bottrop";"0221 632351";"0174 80669879";"i.gunduz@privat.de";"i.gunduz@schule.de";"aktiv";"8d";"08";"";"01.08.2024";"";"";"";"";"ja";"nein";"nein";"nein"
"Małecki";"Kamil";"Kamil";"";"m";"22.06.2010";"Szczecin";"POL";"";"römisch-katholisch";"KR";"ja";"";"";"POL";"POL";"POL";"Polnisch";"";"2012";"Lange Straße";"12";"";"48147";"Münster";"0202 740255";"0170 70254091";"k.malecki@privat.de";"k.malecki@schule.de";"aktiv";"8d";"08";"";"01.08.2024";"";"";"";"";"ja";"nein";"nein";"nein"
"Acar";"Rabia";"Rabia";"";"w";"27.03.2010";"Bursa";"TUR";"DEU";"alevitisch";"AR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2016";"Münchener Straße";"129";"";"42697";"Solingen";"0201 362147";"0176 96057593";"r.acar@privat.de";"r.acar@schule.de";"aktiv";"8d";"08";"";"01.08.2024";"";"";"";"";"nein";"nein";"nein";"nein"
"Constantinou";"Vasilis";"Vasilis";"";"m";"03.07.2009";"Thessaloniki";"GRC";"";"griechisch-orthodox";"OR";"ja";"";"";"GRC";"GRC";"GRC";"Griechisch";"";"2012";"Am Bach";"116";"";"48145";"Münster";"0234 127965";"0172 17148018";"v.constantinou@privat.de";"v.constantinou@schule.de";"aktiv";"8d";"08";"";"01.08.2024";"";"";"";"";"nein";"nein";"nein";"nein"
"Solak";"Kemal";"Kemal";"";"m";"05.03.2010";"Istanbul";"TUR";"DEU";"islamisch";"IR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2012";"Friedrichstraße";"167";"";"47798";"Krefeld";"0208 595404";"0178 72962895";"k.solak@privat.de";"k.solak@schule.de";"aktiv";"8d";"08";"";"01.08.2024";"";"";"";"";"nein";"nein";"nein";"nein"
"Wiśniewski";"Piotr";"Piotr";"";"m";"04.05.2011";"Warschau";"POL";"";"römisch-katholisch";"KR";"ja";"";"";"POL";"POL";"POL";"Polnisch";"";"2012";"Mozartstraße";"74";"";"47441";"Moers";"0521 932463";"0175 71352751";"p.wisniewski@privat.de";"p.wisniewski@schule.de";"aktiv";"7a";"07";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Decker";"Charlotte";"Charlotte";"";"w";"19.04.2012";"Hamm";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Hauptstraße";"158";"";"47441";"Moers";"0521 189772";"0174 58399417";"c.decker@privat.de";"c.decker@schule.de";"aktiv";"7a";"07";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Knežević";"Tomislav";"Tomislav";"";"m";"26.06.2011";"Zagreb";"HRV";"DEU";"ohne Bekenntnis";"OH";"nein";"";"";"HRV";"HRV";"HRV";"Kroatisch";"";"";"Berliner Straße";"65";"";"45470";"Mülheim";"0251 789023";"0177 88101741";"t.knezevic@privat.de";"t.knezevic@schule.de";"aktiv";"7a";"07";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Kellner";"Nicole";"Nicole";"";"w";"10.01.2012";"Wuppertal";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Herderstraße";"17";"";"42285";"Wuppertal";"";"0179 15624520";"n.kellner@privat.de";"n.kellner@schule.de";"aktiv";"7a";"07";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Đukić";"Merima";"Merima";"";"w";"11.11.2011";"Niš";"SRB";"DEU";"ohne Bekenntnis";"OH";"nein";"";"";"SRB";"SRB";"SRB";"Serbisch";"";"";"Marktstraße";"92";"";"42287";"Wuppertal";"";"0171 68646621";"m.dukic@privat.de";"m.dukic@schule.de";"aktiv";"7a";"07";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Hamdan";"Salma";"Salma";"";"w";"20.07.2011";"Aleppo";"SYR";"";"ohne Bekenntnis";"OH";"nein";"";"";"SYR";"SYR";"SYR";"Arabisch";"";"2018";"Bismarckstraße";"109";"";"47053";"Duisburg";"0234 207581";"0177 54012664";"s.hamdan@privat.de";"s.hamdan@schule.de";"aktiv";"7a";"07";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Werner";"Helga";"Helga";"";"w";"21.05.2012";"Köln";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Viktoriastraße";"158";"";"50668";"Köln";"";"0172 58762794";"h.werner@privat.de";"h.werner@schule.de";"aktiv";"7a";"07";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Matić";"Igor";"Igor";"";"m";"13.06.2012";"Zadar";"HRV";"DEU";"katholisch";"KR";"ja";"";"";"HRV";"HRV";"HRV";"Kroatisch";"";"";"Tulpenweg";"166";"";"50823";"Köln";"";"0178 70387584";"i.matic@privat.de";"i.matic@schule.de";"aktiv";"7a";"07";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Braun";"Moritz";"Moritz";"";"m";"06.12.2011";"Krefeld";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Nelkenstraße";"30";"";"47059";"Duisburg";"0209 223481";"0170 44935501";"m.braun@privat.de";"m.braun@schule.de";"aktiv";"7a";"07";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Seidel";"Laura";"Laura";"";"w";"28.11.2011";"Duisburg";"DEU";"";"katholisch";"KR";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Feldstraße";"114";"";"42855";"Remscheid";"0251 168093";"0174 82769008";"l.seidel@privat.de";"l.seidel@schule.de";"aktiv";"7a";"07";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Marino";"Cristian";"Cristian";"";"m";"12.01.2012";"Düsseldorf";"ITA";"DEU";"römisch-katholisch";"KR";"ja";"";"";"ITA";"ITA";"ITA";"Italienisch";"";"2010";"Herderstraße";"61";"";"33602";"Bielefeld";"0202 942700";"0174 27417599";"c.marino@privat.de";"c.marino@schule.de";"aktiv";"7a";"07";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Ziegler";"Johanna";"Johanna";"";"w";"15.08.2011";"Stuttgart";"DEU";"";"katholisch";"KR";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Weststraße";"165";"";"44789";"Bochum";"0201 969325";"0174 95871687";"j.ziegler@privat.de";"j.ziegler@schule.de";"aktiv";"7b";"07";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Hrytsenko";"Oleksiy";"Oleksiy";"";"m";"08.12.2012";"Odessa";"UKR";"";"ohne Bekenntnis";"OH";"nein";"";"";"UKR";"UKR";"UKR";"Ukrainisch";"";"2022";"Dorfstraße";"42";"";"46045";"Oberhausen";"0209 397846";"0177 43635675";"o.hrytsenko@privat.de";"o.hrytsenko@schule.de";"aktiv";"7b";"07";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Szymański";"Justyna";"Justyna";"";"w";"22.03.2011";"Essen";"POL";"DEU";"römisch-katholisch";"KR";"ja";"";"";"POL";"POL";"POL";"Polnisch";"";"2019";"Dorfstraße";"152";"";"45657";"Recklinghausen";"0241 454019";"0175 15529005";"j.szymanski@privat.de";"j.szymanski@schule.de";"aktiv";"7b";"07";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"König";"Theresa";"Theresa";"";"w";"13.11.2011";"Gelsenkirchen";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Poststraße";"124";"";"42699";"Solingen";"0251 162823";"0178 69002851";"t.konig@privat.de";"t.konig@schule.de";"aktiv";"7b";"07";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Özdemir";"Kaan";"Kaan";"";"m";"17.06.2011";"Duisburg";"TUR";"";"islamisch";"IR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2014";"Hubertusstraße";"103";"";"47798";"Krefeld";"";"0179 72608888";"k.ozdemir@privat.de";"k.ozdemir@schule.de";"aktiv";"7b";"07";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Krüger";"Felix";"Felix";"";"m";"24.10.2012";"Duisburg";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Nelkenstraße";"41";"";"57074";"Siegen";"0201 622469";"0174 72654864";"f.kruger@privat.de";"f.kruger@schule.de";"aktiv";"7b";"07";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Papadopoulos";"Maria";"Maria";"";"w";"02.01.2012";"Patras";"GRC";"DEU";"griechisch-orthodox";"OR";"nein";"";"";"GRC";"GRC";"GRC";"Griechisch";"";"2015";"Ahornstraße";"150";"";"52072";"Aachen";"0208 786041";"0173 48352498";"m.papadopoulos@privat.de";"m.papadopoulos@schule.de";"aktiv";"7b";"07";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Lê";"Thu";"Thu";"";"w";"18.10.2011";"Ho-Chi-Minh-Stadt";"VNM";"";"ohne Bekenntnis";"OH";"nein";"";"";"VNM";"VNM";"VNM";"Vietnamesisch";"";"2010";"Lindenstraße";"103";"";"59063";"Hamm";"0231 177103";"0172 77680031";"t.le@privat.de";"t.le@schule.de";"aktiv";"7b";"07";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Zinchenko";"Natalia";"Natalia";"";"w";"07.03.2012";"Lwiw";"UKR";"";"griechisch-orthodox";"OR";"nein";"";"";"UKR";"UKR";"UKR";"Ukrainisch";"";"2022";"Südstraße";"143";"";"59065";"Hamm";"0209 142210";"0176 15222944";"n.zinchenko@privat.de";"n.zinchenko@schule.de";"aktiv";"7b";"07";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Barakat";"Widad";"Widad";"";"w";"13.03.2012";"Hama";"SYR";"";"islamisch";"IR";"nein";"";"";"SYR";"SYR";"SYR";"Arabisch";"";"2019";"Oststraße";"157";"";"44791";"Bochum";"0231 722565";"0171 78090664";"w.barakat@privat.de";"w.barakat@schule.de";"aktiv";"7b";"07";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Al-Khatib";"Dina";"Dina";"";"w";"16.10.2011";"Homs";"SYR";"";"islamisch";"IR";"nein";"";"";"SYR";"SYR";"SYR";"Arabisch";"";"2017";"Tannenweg";"79";"";"57074";"Siegen";"0212 913864";"0175 87528776";"d.alkhatib@privat.de";"d.alkhatib@schule.de";"aktiv";"7b";"07";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Hussain";"Farah";"Farah";"";"w";"01.04.2011";"Latakia";"SYR";"";"islamisch";"IR";"nein";"";"";"SYR";"SYR";"SYR";"Arabisch";"";"2016";"Buchenallee";"180";"";"50667";"Köln";"0201 533020";"0179 65079923";"f.hussain@privat.de";"f.hussain@schule.de";"aktiv";"7c";"07";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Constantinou";"Giorgos";"Giorgos";"";"m";"15.03.2012";"Dortmund";"GRC";"";"griechisch-orthodox";"OR";"nein";"";"";"GRC";"GRC";"GRC";"Griechisch";"";"2015";"Birkenallee";"97";"";"51429";"Bergisch Gladbach";"0234 808699";"0170 91883092";"g.constantinou@privat.de";"g.constantinou@schule.de";"aktiv";"7c";"07";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Hahn";"Tobias";"Tobias";"";"m";"16.06.2012";"Bonn";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Birkenweg";"177";"";"42697";"Solingen";"0212 856719";"0170 48626436";"t.hahn@privat.de";"t.hahn@schule.de";"aktiv";"7c";"07";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Yalçın";"Pınar";"Pınar";"";"w";"09.11.2012";"Adana";"TUR";"";"islamisch";"IR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2013";"Bismarckstraße";"89";"";"42697";"Solingen";"0203 968170";"0174 46390817";"p.yalcin@privat.de";"p.yalcin@schule.de";"aktiv";"7c";"07";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Peters";"Christoph";"Christoph";"";"m";"22.02.2012";"Bochum";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Aachener Straße";"85";"";"40237";"Düsseldorf";"";"0174 31198492";"c.peters@privat.de";"c.peters@schule.de";"aktiv";"7c";"07";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Zawadzki";"Justyna";"Justyna";"";"w";"24.09.2011";"Szczecin";"POL";"";"ohne Bekenntnis";"OH";"nein";"";"";"POL";"POL";"POL";"Polnisch";"";"2015";"Waldstraße";"23";"";"42697";"Solingen";"0211 283568";"0172 33593960";"j.zawadzki@privat.de";"j.zawadzki@schule.de";"aktiv";"7c";"07";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Benkirane";"Nour";"Nour";"";"w";"10.06.2011";"Marrakesch";"MAR";"";"islamisch";"IR";"nein";"";"";"MAR";"MAR";"MAR";"Arabisch";"";"2017";"Schulstraße";"77";"";"50667";"Köln";"0209 649787";"0173 28012011";"n.benkirane@privat.de";"n.benkirane@schule.de";"aktiv";"7c";"07";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Berger";"Julian";"Julian";"";"m";"20.03.2011";"Frankfurt";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Südstraße";"76";"";"44147";"Dortmund";"0208 548479";"0174 54013571";"j.berger@privat.de";"j.berger@schule.de";"aktiv";"7c";"07";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Schulze";"Johannes";"Johannes";"";"m";"25.08.2011";"Aachen";"DEU";"";"evangelisch";"ER";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Am Park";"99";"";"44137";"Dortmund";"0231 710754";"0175 11534878";"j.schulze@privat.de";"j.schulze@schule.de";"aktiv";"7c";"07";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Nowak";"Paweł";"Paweł";"";"m";"04.12.2012";"Katowice";"POL";"";"ohne Bekenntnis";"OH";"nein";"";"";"POL";"POL";"POL";"Polnisch";"";"2018";"Bonner Straße";"176";"";"48145";"Münster";"0231 485397";"0175 39641883";"p.nowak@privat.de";"p.nowak@schule.de";"aktiv";"7c";"07";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Babić";"Ena";"Ena";"";"w";"22.04.2011";"Zadar";"HRV";"DEU";"ohne Bekenntnis";"OH";"nein";"";"";"HRV";"HRV";"HRV";"Kroatisch";"";"2016";"Kastanienallee";"171";"";"51427";"Bergisch Gladbach";"0221 651033";"0173 80890196";"e.babic@privat.de";"e.babic@schule.de";"aktiv";"7c";"07";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Becker";"Tobias";"Tobias";"";"m";"07.11.2011";"Bremen";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Pappelweg";"114";"";"47800";"Krefeld";"0221 635167";"0173 17467311";"t.becker@privat.de";"t.becker@schule.de";"aktiv";"7d";"07";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Voigt";"Theresa";"Theresa";"";"w";"07.12.2011";"Hamburg";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Kölner Straße";"66";"";"44229";"Dortmund";"";"0172 56241881";"t.voigt@privat.de";"t.voigt@schule.de";"aktiv";"7d";"07";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Şahin";"Bayram";"Bayram";"";"m";"13.06.2012";"Essen";"TUR";"";"alevitisch";"AR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2013";"Herderstraße";"165";"";"42285";"Wuppertal";"0208 493892";"0177 98824290";"b.Sahin@privat.de";"b.Sahin@schule.de";"aktiv";"7d";"07";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Dąbrowski";"Joanna";"Joanna";"";"w";"15.05.2011";"Katowice";"POL";"";"römisch-katholisch";"KR";"ja";"";"";"POL";"POL";"POL";"Polnisch";"";"2017";"Tannenstraße";"1";"";"44789";"Bochum";"0208 657772";"0172 40824989";"j.dabrowski@privat.de";"j.dabrowski@schule.de";"aktiv";"7d";"07";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Bulut";"Ümit";"Ümit";"";"m";"04.02.2011";"Antalya";"TUR";"";"islamisch";"IR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"";"Gartenstraße";"62";"";"57074";"Siegen";"";"0175 16533225";"u.bulut@privat.de";"u.bulut@schule.de";"aktiv";"7d";"07";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Al-Jundi";"Zeina";"Zeina";"";"w";"20.10.2012";"Deir ez-Zor";"SYR";"";"islamisch";"IR";"nein";"";"";"SYR";"SYR";"SYR";"Arabisch";"";"2015";"Rathausstraße";"60";"";"45657";"Recklinghausen";"0203 416422";"0178 98612211";"z.aljundi@privat.de";"z.aljundi@schule.de";"aktiv";"7d";"07";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Çelik";"Kübra";"Kübra";"";"w";"21.06.2011";"Konya";"TUR";"";"islamisch";"IR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2010";"Lindenallee";"127";"";"47441";"Moers";"0209 434217";"0172 64795619";"k.celik@privat.de";"k.celik@schule.de";"aktiv";"7d";"07";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Decker";"Tom";"Tom";"";"m";"18.07.2012";"Leverkusen";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Niederstraße";"15";"";"44787";"Bochum";"";"0179 44224936";"t.decker@privat.de";"t.decker@schule.de";"aktiv";"7d";"07";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Brandt";"Peter";"Peter";"";"m";"07.02.2011";"Hamburg";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Münchener Straße";"173";"";"47053";"Duisburg";"0209 327558";"0173 38036618";"p.brandt@privat.de";"p.brandt@schule.de";"aktiv";"7d";"07";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Walter";"Leon";"Leon";"";"m";"13.05.2012";"Oberhausen";"DEU";"";"evangelisch";"ER";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Kölner Straße";"62";"";"33604";"Bielefeld";"0234 423404";"0170 58270683";"l.walter@privat.de";"l.walter@schule.de";"aktiv";"7d";"07";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Bozkurt";"Selda";"Selda";"";"w";"09.01.2011";"Duisburg";"TUR";"DEU";"alevitisch";"AR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2014";"Eichenallee";"57";"";"50668";"Köln";"0241 854987";"0172 49620038";"s.bozkurt@privat.de";"s.bozkurt@schule.de";"aktiv";"7d";"07";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Albrecht";"Benedikt";"Benedikt";"";"m";"06.08.2013";"Hannover";"DEU";"";"katholisch";"KR";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Am Markt";"126";"";"53113";"Bonn";"0201 246757";"0174 75540707";"b.albrecht@privat.de";"b.albrecht@schule.de";"aktiv";"6a";"06";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Popescu";"Andrei";"Andrei";"";"m";"23.02.2012";"Cluj-Napoca";"ROU";"";"sonstige orthodoxe";"XO";"nein";"";"";"ROU";"ROU";"ROU";"Rumänisch";"";"2015";"Herderstraße";"162";"";"57072";"Siegen";"";"0174 71204580";"a.popescu@privat.de";"a.popescu@schule.de";"aktiv";"6a";"06";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Seidel";"Charlotte";"Charlotte";"";"w";"17.01.2013";"Bremen";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Birkenallee";"71";"";"44229";"Dortmund";"0212 287974";"0177 22927031";"c.seidel@privat.de";"c.seidel@schule.de";"aktiv";"6a";"06";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Beck";"Marie";"Marie";"";"w";"08.12.2012";"Gelsenkirchen";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Hochstraße";"145";"";"51375";"Leverkusen";"0208 184532";"0176 22549425";"m.beck@privat.de";"m.beck@schule.de";"aktiv";"6a";"06";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Becker";"Diana";"Diana";"";"w";"28.10.2013";"Essen";"DEU";"";"katholisch";"KR";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Kurze Straße";"166";"";"46238";"Bottrop";"0211 340927";"0179 86072480";"d.becker@privat.de";"d.becker@schule.de";"aktiv";"6a";"06";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Hahn";"Fabian";"Fabian";"";"m";"27.12.2012";"Hagen";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Birkenweg";"151";"";"44229";"Dortmund";"0231 270341";"0175 42275631";"f.hahn@privat.de";"f.hahn@schule.de";"aktiv";"6a";"06";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Mahmoud";"Nour";"Nour";"";"w";"11.02.2012";"Hama";"SYR";"";"ohne Bekenntnis";"OH";"nein";"";"";"SYR";"SYR";"SYR";"Arabisch";"";"2019";"Friedrichstraße";"112";"";"50672";"Köln";"0241 515973";"0171 13976288";"n.mahmoud@privat.de";"n.mahmoud@schule.de";"aktiv";"6a";"06";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Marchenko";"Daryna";"Daryna";"";"w";"25.02.2013";"Lwiw";"UKR";"";"griechisch-orthodox";"OR";"nein";"";"";"UKR";"UKR";"UKR";"Ukrainisch";"";"2022";"Wiesenstraße";"175";"";"47443";"Moers";"0203 847748";"0177 21010955";"d.marchenko@privat.de";"d.marchenko@schule.de";"aktiv";"6a";"06";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Schäfer";"Noah";"Noah";"";"m";"04.05.2013";"Bochum";"DEU";"";"katholisch";"KR";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Hansastraße";"114";"";"44137";"Dortmund";"";"0172 70242778";"n.schafer@privat.de";"n.schafer@schule.de";"aktiv";"6a";"06";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Beck";"Tobias";"Tobias";"";"m";"24.02.2013";"Berlin";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Rathausstraße";"106";"";"44147";"Dortmund";"0203 699743";"0174 32761034";"t.beck1@privat.de";"t.beck1@schule.de";"aktiv";"6a";"06";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Friedrich";"Marie";"Marie";"";"w";"16.05.2013";"Düsseldorf";"DEU";"";"katholisch";"KR";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Kurze Straße";"71";"";"48147";"Münster";"0203 855917";"0173 89699345";"m.friedrich@privat.de";"m.friedrich@schule.de";"aktiv";"6a";"06";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Aktaş";"Ahmet";"Ahmet";"";"m";"27.07.2013";"Kayseri";"TUR";"DEU";"islamisch";"IR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2014";"Nordstraße";"113";"";"45468";"Mülheim";"0241 242736";"0170 53038948";"a.aktaS@privat.de";"a.aktaS@schule.de";"aktiv";"6b";"06";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Yalçın";"Kadir";"Kadir";"";"m";"12.07.2013";"Ankara";"TUR";"DEU";"islamisch";"IR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2016";"Oststraße";"97";"";"45879";"Gelsenkirchen";"0203 720995";"0174 34149421";"k.yalcin@privat.de";"k.yalcin@schule.de";"aktiv";"6b";"06";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Blažević";"Maja";"Maja";"";"w";"21.03.2013";"Rijeka";"HRV";"DEU";"ohne Bekenntnis";"OH";"nein";"";"";"HRV";"HRV";"HRV";"Kroatisch";"";"2014";"Aachener Straße";"173";"";"50823";"Köln";"0521 261630";"0172 60598851";"m.blazevic@privat.de";"m.blazevic@schule.de";"aktiv";"6b";"06";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
