"kuerzel";"personalTyp";"anrede";"titel";"amtsbezeichnung";"nachname";"vorname";"geschlecht";"geburtsdatum";"staatsangehoerigkeit";"strassenname";"hausnummer";"hausnummerZusatz";"plz";"wohnort";"telefon";"telefonMobil";"emailPrivat";"emailDienstlich";"istSichtbar";"istRelevantFuerStatistik"
"WEIN";"LEHRKRAFT";"Herr";"";"";"Weinmayr";"Marcel";"3";"1986-11-21";"000";"Königsmauer";"225";"";"48153";"Münster";"01234 702666";"0197 925045";"M.Weinmayr@lmail.de";"m.weinmayr@dienst.lmail.com";"true";"true"
"WERI";"LEHRKRAFT";"Frau";"";"";"Wering";"Antje";"4";"1975-12-12";"000";"Bölschestraße";"282";"";"45147";"Essen";"01234 532675";"0197 296279";"A.Wering@lmail.de";"a.wering@dienst.lmail.com";"true";"true"
"WIEG";"LEHRKRAFT";"Frau";"";"";"WiegmannHaardt";"Lisa";"4";"1996-08-02";"000";"Kirchgasse";"36";"";"32339";"Espelkamp";"01234 835752";"0197 179813";"L.WiegmannHaardt@lmail.de";"l.wiegmannhaardt@dienst.lmail.com";"true";"true"
"WIEL";"LEHRKRAFT";"Frau";"";"";"Wielitzka";"Susanne";"4";"1952-05-23";"000";"Mühlenstraße";"495";"";"51063";"Köln";"01234 503963";"0197 129311";"S.Wielitzka@lmail.de";"s.wielitzka@dienst.lmail.com";"true";"false"
"WIL1";"LEHRKRAFT";"Herr";"";"";"Wilkau";"Jens";"3";"1992-03-03";"000";"Schreberplatz";"100";"";"59510";"Lippetal";"01234 690137";"0197 177159";"J.Wilkau@lmail.de";"j.wilkau@dienst.lmail.com";"true";"true"
"WOJA";"LEHRKRAFT";"Frau";"";"";"Wojahn";"Sophie";"4";"1968-04-02";"000";"Frankenallee";"447";"";"59602";"Rüthen";"01234 400499";"0197 275178";"S.Wojahn@lmail.de";"s.wojahn@dienst.lmail.com";"true";"true"
"WUBB";"LEHRKRAFT";"Frau";"";"";"Wubben";"Anna";"4";"1992-10-22";"000";"Frankstraße";"132";"";"59368";"Werne";"01234 900042";"0197 711340";"A.Wubben@lmail.de";"a.wubben@dienst.lmail.com";"true";"true"
"ZAR1";"LEHRKRAFT";"Herr";"";"";"Zarniko";"Philipp";"3";"1989-12-10";"000";"Stillerzeile";"405";"";"58509";"Lüdenscheid";"01234 348967";"0197 199524";"P.Zarniko@lmail.de";"p.zarniko@dienst.lmail.com";"true";"true"
"ZARN";"LEHRKRAFT";"Frau";"";"";"Zarniko";"Marie";"4";"1984-06-28";"000";"Stettiner Fußgängertunnel";"66";"";"48720";"Rosendahl";"01234 575159";"0197 849285";"M.Zarniko@lmail.de";"m.zarniko@dienst.lmail.com";"true";"true"
"ZIEC";"LEHRKRAFT";"Frau";"";"";"Ziecker";"Anna";"4";"1988-09-27";"000";"Schönhauser Communication";"87";"";"33175";"Bad Lippspringe";"01234 494114";"0197 912672";"A.Ziecker@lmail.de";"a.ziecker@dienst.lmail.com";"true";"true"
"ZIEG";"LEHRKRAFT";"Herr";"";"";"Ziegenhagen";"Martin";"3";"1967-03-14";"000";"Buchhornstraße";"44";"";"59073";"Hamm";"01234 150627";"0197 503544";"M.Ziegenhagen@lmail.de";"m.ziegenhagen@dienst.lmail.com";"true";"false"
"ZIME";"LEHRKRAFT";"Frau";"";"";"Zimen";"Silke";"4";"1991-01-11";"000";"Adlergestell";"30";"";"53797";"Lohmar";"01234 733746";"0197 747424";"S.Zimen@lmail.de";"s.zimen@dienst.lmail.com";"true";"true"
